,Puan,Yorum
32,1.0,oğlum 3.5 yaşında bayılıyor seriye.neden sevdiğini pek anlamasam da galiba resimli olmasından.kagit kalitesi iyi. bu yaş grubuna tavsiye ederim.cocuk kitaplarına neden yaş grubu yazılmaz ki.bence kitap 3-5 yaş grubu için.
33,1.0,Eksiksiz her sey gayet guzel
34,1.0,henüz kitabı okumadım fakat hepsi buaradaya teşekkür etmek istedim.ürünü sabaha karsı saatlerde vermiş olmama ragmen aynı gün öğlen elimdeydi.hepsi burada çalışanlarına kaliteli hizmetinize teşekkür ederim.ayrıca ürünleri iki ayrı paket halinde gün içinde ikinci sefer getiren güler yüzlü teslimat biriminizdeki arkadaşa ayrıca teşekkür ederim.uzun zamandır internetten farklı sitelerdende alışveriş yapan biri olarak söylemek isterim ki ne boyle düzgün teslimatlar yaşadım ne zamanında geldi ne getirenler bu kadar normaldi.tabi istisnalar hariç ama genelde saçma sapan paketlenmiş ürünler ve al su kargonuda bitsin şu işim ooofff surat şekline sahip kargoculardan sonra hepsi burada beni çok şaşırttı.tekrardan teşekkür ederim.yanlış birşey olduğunda çılgın gibi şikayetlerini dile getiren biz tüketiciler menun kalındığındada bi o kadar açıklayıcı yazmalıdırlar bence.iyi çalışmalar dilerim. 
35,1.0,Kaliteli ve orijinal baskı
36,1.0,Kitap hem ucuz hem ince 
37,1.0,Oyun güzel fakat kartlarda renkler soluk kırmızı turuncu mavi mor yesil.bunlar daha belirgin olmali.
38,1.0,Herkezin okuması gerektiğine inandoığım dir kitap.
39,1.0,Kargo hızlı
40,1.0,Sürükleyici bir o kadar da duygusal
41,1.0,faydalı bir kitap
42,1.0,Memnunum
43,0.0,Bu kitabı birtek ben mi beğenmedim acaba. Yorumlara aldandım. Bir kere daha ilk sayfadan olumsuz başlıyor. Çocuğunu dinlemeyen
44,0.0,Dönüşüm kitabını okuyan bence bu seriyi almaz :
45,1.0,Kesinlikle iş görür
46,1.0,ÇOK SEVEREK ÇOK KISA SÜREDE OKUDUM. BASİT AMA KEYİFLİ VE GÜZEL TAVSİYELER VEREN BİR KİTAP...
47,0.0,Hayatınızda hiç bilim haberi bile okumadıysanız bayılacaksınız
48,1.0,Ürünü uzun araştırmalar sonucu ve burda bulunan yorumlara bakarak aldım. Gayet sağlam ve kaliteli bir ürün. Üç bataryalı olması ayrıca bir avantaj ve Bataryaların şarj edilme şekilleri çok hoşuma gitti.. satıcıya ve Hepsiburada.com teşekkür ederim
49,1.0,ÜRÜNÜ BİR ARKADAŞIMIN TAVSİYESİ İLE ALDIM. HEM 4 YAŞINDAKİ KIZIM İÇİN HEMDE 10 YAŞINDAKİ OĞLUM İÇİN DİKKAT GELİŞTİRİCİ BİR ÜRÜN. AİLECEKEĞLENCELİ VAKİT GEÇİRMEK İÇİN ÇOK GÜZEL.
50,1.0,Livanelinin kitaplarını zaten çok severim. Bu sebeple hep beğeneceğimi düşünerek okumaya başlıyorum. Bu da öyle oldu. Kitap alışkın olduğum türlerden farklı. Farklı bir hikaye iki kişinin ağzından anlatılmış. Bence çok keyifli. Tavsiye ediyorum...
51,1.0,Sabahattin Alinin en güzel eseri bu bence.Kitabı okurken sanki o anları yaşıyor gibi oluyorsunuz.Çok sade ve güzel anlatımlı.Okumanızı tavsiye ederim.
52,1.0,Yine muhteşem bir kıraç eseri Özellikle &quot
53,1.0,24 saatten daha kısa bir sürede ürünü teslim aldım.Akşam oğluma süpriz yapacağım. İlginize teşekkür ederim
54,0.0,özellikle yabancı kaynaklı kitaplardan çekiniyorum adlarını farklı çeviri yapan kişinin akıcı yapamama durumu bu kitabı zevksiz kılmıştır.Beğenmedim.
55,0.0,maalesef ürünler resimdeki kadar renkli değil onun haricinde gönderim hızlı paketleme guzel
56,0.0,Resimde göründüğü gibi ama çok küçük oyuncak gibi oynanmıyor ve kargoya verme süresi berbat kargo şirketi ayrı bir rezil kesinlikle almayın
57,1.0,tebrikler
58,1.0,Çok iyi kurgu.Tamamiyle içine çeken bir hikaye.Sonuna kadar tavsiye ederim.
59,1.0,Hızlı ve temiz gönderi için teşekkürler. Tavsiye ederim
60,1.0,sipariş verdikden 1 gün sonra teslim edildi elime ulaştı kardeşime aldım ve çok güzel ses vermesi müzik çalması herşeyi ile 10 numara tavsiye ederim alcak olan kişilere paketlemsi ile de ayrıca teşekkür ederim sağlam bir paketleme
61,1.0,Okunması gereken kitaplardan biri olduğunu düşünerek aldım ve beklediğimden daha kısa sürede
62,1.0,Kitabı yeni okumaya başladımbeni hemen içine çekti şimdidenbunun filmi nasıl olucak merak etmeye başladımfantastik dünyatavsiye ederim mutlaka okuyun
63,1.0,Yazarın ilk okuduğum kitabı 2. kitabı olan &quot
64,1.0,Olağanüstü bir kitap. kitap sizi kendi dünyasına öyle bir çekiyor ki bitirmek için sabirsizlaniyorsunuz. bitirince ufak çaplı bir bunalim sizi bekliyor hem kitap bitmiş hem okuduklarıniz sizi etkilemiş oldugundan.okumayanlar icin hayvan çiftliğini de öneririm.
65,1.0,iyi bence telleri saglam paraya deger
66,1.0,gerçekten çok güçlü ve güzel bir ürün.
67,1.0,Çok güzel bir set olmuş kesinlikle tavsiye ederim.
68,1.0,güzel bir kitap çırağını da sipariş verim
69,1.0,Hızlı kargouygun fiyat. Alınır.
70,1.0,iyi bir kitap teşekkürederim
71,1.0,Ürün çok kısa bir sürede elime ulaştı bu seti almadan önce çok araştırma yaptım bu set içerisinde 3 adet çok güzel etkinlik kitabı bulunmakta bu set tam benim çocuğuma göre bir set herkese tavsiye ederim iç görselliğide harika.
72,0.0,ürün komple çince yazılı kibrit kutusu kadar. kola ile suyun ph ı aynı çıkıyor kullanım tarihi geçmiş elektronik olanını almak daha mantıklı
73,0.0,ürün gorseldekiyle uyusmuyor burgular bakalit cikti
74,1.0,TEŞEKKÜRLER
75,0.0,Urun güzel fakat alt tarafta bi yerde ezilme var ice doğru onun dışında güzel urun 
76,1.0,çocuğuma mutlaka birşeyler katacaktır. beğendik. kızım çok sevdi. kitapla yatıyor.
77,1.0,Çok güzel bir ürün tavsiye ederim
78,1.0,Kitaplar 1
79,1.0,Teşekkürler ürün güzel
80,1.0,insanı alıp götürüyor.. içten içe bir o krakter bir diğer krakterin benliğinde düşüncelerinde yer almak.. harikaydı..
81,1.0,Bence olayın hikayesinden çok
82,1.0,Dış boya veya metal soyulmadığı yazdığı için aldım umarım soyulmaz ürün ölçüleri var aslında ama ben biraz daha büyük bekliyordum 
83,1.0,Bu oyunu birlere oynadım ama gercekten çok zevkli bir oyun. Kalabalık ortamları zevkli bir ortama çevirmek için kullanılabilir oldukça eğlenmiştik oynarkendetavsiye edebilirim
84,1.0,Pisman olmayacaksınız. Kısa sürede bitirip yakınlarınıza tavsiye edeceksiniz.
85,0.0,Arka kapağı açıp pazarda limon satmak için kullanırsanız daha çok işe yarar. Leş ötesi bir gitar. Sap berbat. Akord tutmuyor. 3. Perdeden sonra cızırtı yapıyor bareli akorlarda. Eline aldığın anda buram buram kalitesizlik kokuyor. Videodaki gitar ile de alakası yok gelen ürünün. Kesinlikle almayın. Yeni başlayanı bırakın eve süs olarak bile alınmaz. Valencia nın çok güzel modelleri var az daha yüksek fiyata. Onlara yönelin. Pişmanlık duymayın
86,1.0,Ürün çok hızlı bir şekilde elime ulaştı. Ayrıca Mağazanın ürünü hediye paketi yapması ve üzerine not eklemesi de çok ince bir düşünceydi. İlgileri ve ince fikirleri için mağazaya teşekkür ederim.
87,1.0,Harika bir kitap
88,1.0,Ürün denildiği gibiydi ve çok hızlı geldi teşekkürler.
89,1.0,yeni başlayanlar için harika bir ürün. tam bir fiyat performans ürünü. mağaza hızlı kargoladı. tavsiye ediyorum.
90,1.0,Diğer yorumlarda da yazdığı gibi kartlar çift taraflı olduğu için oynarken kolaylık sağlıyor.arka kısımda cevaplar var. Kartlar ve bardaklar yeterince büyük. Renkler canlı. Kızım çok beğendi.
91,1.0,kitabı aldıkta sonra bağlanıyorsunuz ve elinizden bırakamıyorsunuz konular olaylar bağlantılar biraz istatistik biraz matemetik biraz kuantum fiziği herşey var kitapta arşivde olması gerekir. mutlak okunmalı.
92,1.0,Ürün kısa sürede elime ulaştı.Kaliteli ve sağlam bir ürün.Kolay kullanımı ve 3 batarya harika.Oğluma güzel bir karne hediyesi oldu.Teşekürler hubsan.
93,1.0,Hepsi expressle iki günde elime ulaştı başlangıç seviyesi için hazırlık okudum 9. Sınıfa geçeceğim seneye 10. Sınıfa geçmem gerekirken matematiğim biraz köreldi Kesinlikle öneriyorum Tarih=24.05.2018
94,1.0,kalitesine gore uygun bir ürün
95,1.0,Her evde olması gereken bir kitap 
96,1.0,Basit ama çocukların ilgisini çekiyor. Kağıt dokusu kaliteli.
97,1.0,Hediye paketi ve içinden çıkan 2 şeker ve kurşun kalem için teşekkürler. Bu sene sınav senemiz
98,1.0,Zevkle okunan bir kitap. Yazar hem kendi yaşamından kesitler vermiş
99,1.0,Ürün anlatıldığı gibi özenli kargo yapılmış ve çok hızlı bir şekilde kargolandı teşekkür ederim
100,1.0,Ürün gayet kaliteli duruyor
101,1.0,Öyle güzel bir kitap ki üzerine belki 20 kitap okudum ama bu kitap gibisini okumadım.. Insanın içine işleyen bir kitap. H&#226
102,1.0,süper 
103,1.0,Ürün
104,1.0,Tavsiye ederim güzel.cocugum da beğendi. 2 yasinda
105,1.0,Ürün paketlemesi ne iyi ne kötüydü siparişten itibaren 2 gün içinde elime ulaştı. Ürün gayet zevkli ve kullanışlı başlangıç seviyesi için bi tık üst olabilir küçük dronelar ile başlamak daha mantıklı
106,1.0,Çok memnun kaldık. Çok kolay monte edilebilecek şekilde hazırlamış 
107,0.0,Atatürk’ü ve kadınları küçümseyen kadını bile insan olarak gördüğü tabir edilen bi kitap nasıl sevildi bu kadar gerçekten değişik ve üzücü
108,1.0,Resimdekinin aynısı. Taşlar biraz büyük denmiş ama küçük yakışmazdı bu takıma.Teşekkürler
109,1.0,Güzel &#128077
110,1.0,Kaliteli ürün
111,1.0,Görsel anlamda da içerik anlamında da çok eğlenceli ve bebişimin uyku kitabı oldu..
112,1.0,çok güzel tavsiye ederim
113,1.0,Gönderimden ötürü sıkıntı yok ürün gayet başarılı rengi fotoğraftaki kadar parlak değil sadece doğru tercih yaptığımı düşünüyorum 
114,1.0,paketlemesı harıkaydı ama ölçülerinde bir sıkıntı var
115,1.0,Bu kitap bence muhteşem yazılmış bir roman
116,1.0,güzel bir kitap biz sevdik
117,1.0,Harika kargo elime çok hızlı ulaştı çok güzel paketlenmiş teşekkürler hepsi burada
118,1.0, Yunus emreyi yalnızca bir halk şairi olarak biliyordum . Meğer bilgim ne kadar eksikmiş . Rabbinin huzurunda kendini bile bilmeyi unutmuş tüm kalbini aklını Allah sevgisiyle doldurmuş tasavvufi bir derviş imiş . Ben çok beğendim 
119,1.0,48 saatten kısa bir süre içinde geldi. Güzel şekilde paketlenmişti. Ürün hakkında ilk izlenimlerim olumlu. Uyduruk bir ürün değil.
120,1.0,ürün kesinlikle çok kaliteli
121,1.0,Sürükleyici
122,1.0,Çok beğendim
123,1.0,Bittiğinde ortaya çıkan görüntü muhteşem 
124,1.0,Gayet kaliteli ve kullanışlı. Hızlı teslimat.
125,0.0,Eğer profesyonel kayıt yada amatör kayıt yapacaksanız hiç bakmayın.Ama bilgisayara bağlayıp eş dost arasında kullanmak için yeterli.Bilgisayara bağlamak için jack küçültücü almanız gerekiyor unutmayın.
126,1.0,çok güzel büyük bir kitap. kızım kelebekleri göstermeyi çok seviyor. hikayesi saçma değil memnunuz
127,1.0,fiyatına göre güzel. tavsiye edilir.
128,1.0,ilkokul 1. sınıfa giden kızım bu kitapları çok sevdi Hatta her kitabı 2 defa okudu kendi isteğiyle. Ata' miz ile ilgili öyle güzel bilgiler veriyor ki. Ben de bilmediğim şeyler öğrendim. Anlatımı çok güzel. sıkmadan akıcı bir şekilde anlatılmış ve bol bol resmi var. Her çocuğun okuması gereken bir kitap. Okusunlar ki ileride cahil olmasınlar ve cahillerin Ata'm hakkında yalan yanlış soylemlerine inanıp onlara katilmasinlar. Emeğinize sağlık Yılmaz Özdil
129,1.0,ben kitabı ingilizceden okudum : türkcesi içinde ön sipariş verdim.. bu kitapta olaylar çözülüyor.. bir çok kişi ölüyor ve iyi kötü ortaya çıkıyor: 700 sayfalık bir kitap olmasına ragmen bi çırpıda okunuyor..
130,1.0,ilk 2 sayfadaki taşıtlarve son iki sayfadaki taşıtlar aynı. Basım hatası mi değil mi anlayamadim.
131,1.0,Güzel ve kaliteli
132,1.0,hepsiburadaya kısa zamanda elime ulaştırdığı için teşekkürler...
133,1.0,tabu xl çok güzel bir oyun eğlenceli bu oyunu oynarken kendinizden geçeceksiniz.bana iki gün içinde geldi.biraz pahalı ama çok zevkli bir oyun
134,1.0,Ulaşma zamanının geç olması dışında sıkıntı olmadı.
135,1.0,cok begendik kargo biraz gec geldi ama olsun 
136,1.0,iyi fiyat
137,0.0,Kitabın içeriği tabii ki çok güzel
138,0.0,İKİ TANE ALDIM İKİSİ BİRBİRİNDEN FARKLI SES KALİTESİ VAR. ZATEN BOYALARI VE YAZILARI DİĞERİNDEN SOLUK. KAPALI ALANDA KESİNLİKLE GEREKSİZ BİR ŞEY SESSİZ BİR ODADA LOGİTECH 4K NINYADA LAPTOPUN MİKROFONKALİTESİDAHA İYİ . ZATEN MİKROFONU AĞZINA SOKMADAN SES ALMIYOR . ÇOK PİŞMANIM GERİ VERMEYE DE ÜŞENDİM AÇIKCASI .BENCE AÇIK ALANDA UZAK MESAFEDE ÇEKİMLERİ İÇİNDİZYN EDİLMİŞ BİRALET . OYLE DURUYORLAR ŞİMDİ 
139,1.0,Öncelikle hızlı kargo için teşekkür ederim. Her ailenin çocuğuna okul öncesi eğitimi için alması gerekli bir yardımcı yayın.Bundan önce bir alt yaş kategorisindeki z kareyi almıştım ve çok faydasını gördü çocuğum. Şiddetle tavsiye ederim. Fiyatı da diğer sitelere göre çok uygun.
140,1.0,Arkadaslar ben ailemle sorunlarim oldugu icin bunu babama hediye olarak aldim . Begendi okuyor . Her anne baba okumali .
141,1.0,48 saat içinde daha önce hiç 520 sayfalık kitap okumamıştım.son sayfalara doğru üzülmeye başladım bitiyor diye. Çok kısa özetini vereyim GAZİMUSTAFA KEMAL ATATÜRKÖmrünü hep sanki filmin sonunu görmüş gibi yaşamış Yani yaptıgı her işin nasıl yapılacagını bildigi gibi gerçekleşecegindende emin bi şekilde uygulamış İlahi bir güçümüvardı
142,0.0,İnanılmaz kalitesiz bir ürün. Hatta üretim hatası nedeniyle parçalardan bir tanesi eksik çıktı. Hiç memnun kalmadım.
143,1.0,Kitap günlük karşılaştığımız sorunlara ve onlarla nasıl baş edeceğimize dair anekdotlar barındırıyor. Ayrıca insanın hayallerinin peşinden gittikçe karşısına neler çıkabileceğine dair ışık tutuyor. Arakiyeci İbrahim Ağa'nın hikayesine de benzettim.
144,1.0,5 yıldızı hakeden bir Ahmet Ümit klasiği. Alın okuyun
145,1.0,Fiyatına göre görüntü kalitesi çok iyi. Ancak hafif olduğu içim rüzgarda çabuk savruluyor. Şarj için kablo ve Kuman’da gönderilmemesi de handikabı. Ama beğendim
146,1.0,gayet başarılı hazırlanmış bir ürün
147,1.0,Kitap mükemmel. Ulaştırma hızı şahane teşekkürler.
148,1.0,Harika Bisi Kaliteli Hizli Güvenilir ...
149,0.0,Yaklaşık 10 gün önce 2 saz parası sipariş ettim 
150,1.0,öğleden sonra sipariş verdim
151,1.0,gerçektenn süper bi oyun geçen gün arkadaşlarla oynadık çok zevkli çok eylenceli ve sevdiğiniz bir arkadaşınıza bi şey anlatmak çok güzell herkeze bu oyunu almalarını tavsie ederm çok eyleniceklerinden eminim
152,1.0,evet beğendim gayet güzel ve teslimat çok hızlı
153,1.0,efsane serinin efsane baslangici herşeyi bilmeme rağmen 1 günde bitti alın okuyun
154,1.0,Güzel gitar 2 aydır kullanıyorum ebatlarida güzel fakat çin malı bilginiz olsun
155,1.0,çocukların ilgi odağı
156,1.0,Ürün geldi. Taşları eksikti. Hemen ilgilendiler ve yolladılar. Teşekkür ederim
157,1.0,kitabı okuyun sonra internetten filmini bulun izleyin daha çok etkileneceksiniz yazarın diğer kitaplarıda harika tavsiye ederim mutlaka okuyun
158,1.0,kitapta kücük bir hasar vardı ama önemi yok kitap muhtesemdi
159,0.0,Geldiği gün patladı. İçinden akışkan bir sıvı çıktı.
160,1.0,bu fiyata iyi bir ürün beklemiyordum beklemtimde fazlası şaşırdım
161,1.0,HIZLI VE TEMİZ KARGO..
162,1.0,Kitabı 4 kere falan okudum
163,1.0,müzik öğretmen olarak akustik piyanoya bu kadar yakın piyano ancak bu kadar olur.yanında akademi müziğin göndermiş olduğu sony kulaklık ve kawai taburede son derece başarılı. paketlemesi kargo hızı yönünden de 10 puan.
164,1.0,Muhteşem
165,1.0,güvenilir ve hızlı kargolama teşekkürler
166,1.0,Kitap
167,1.0,Çok gğzel
168,1.0,HARİKA Bİ ORGANİZASYON 
169,1.0,kitabın ilk 100 sayfasında herşey çok karışık geliyor 
170,1.0,fiyat çok uygun 1 sigara parası
171,1.0,Çok hızlı bir şekilde elime ulaştı.Alışverişimden çok memnun kaldım.Çok teşekkürler.
172,1.0,Süper hızlı kargo için teşekkürler
173,1.0,Yazarın diğer kitabı Uçurtma Avcısından sonra sürükleyici bir hikaye daha... Öyle ki etkisinde kalmamak mümkün değil.Kesinlikle okunması ve arşivde bulundurulması gereken iyi bir kitap.
174,1.0,Akedemimüzik satıcısına teşekkürler... Telin yanında ayrıca iki tane mızrap göndermişler. 
175,1.0,Çok faydalı
176,1.0,çok güzel bir kitap cok fazla sürükleyici. normalde hızlı okuyamam ama alalı 2 gün oldu suana kadar yarısına geldim. ama yavas okumak istiyorum hemen bitsin istemiyorum. almak isteyenler hiç düşünmeden alabilir. ayrıca ynnda kupa bardak ve içinde bi adet cay geldi. hepsiburada ya cok teşekkür ederim.
177,1.0,Ben beğendim bana göre pahalı olanlardan farkı yok
178,1.0,Ebeveynlik sürecinde okuyup faydalanmaya çalıştığım kitaplar içerisinde beni en çok etkileyen kitap oldu &quot
179,1.0,gerçekten hızlı kargo ve sorunsuz ürün teşekkürler
180,1.0,Beğendim tavsiye ederim 
181,0.0,boyut ve resimler ilgi çekici ama hikayeler için aynı şeyi söyleyemicem tamam güzel mesajlar veriyor ama cümleler gereksiz uzatılmış insan okurken sıkılıyor karakterlere gereksiz ve saçma isimler takılmış. her kelimeden sonra mış miş muş müş.. çok sıkıcı.. dinlerken bile yoruluyorsun ben hikayeleri sevmedim daha kaliteli yazılabilirdi ne varsa eski masallarda var valla
182,1.0,BEYLER BU KİTAP NİYE BU KADAR UCUZ BİLMİYORUM AMA GERÇEKTEN KARGO 2.ELİME ULAŞTI VE KİTAPTA SORULARDA İYİYDİ
183,1.0,tavsıye edrım daha oncede bırcok kıtaplarını okudum
184,1.0,Mühteşem ve kaliteli mikrofon! Ses yüksekliği çok güzel! 1 ay bol bol kulanıyoruz. Çok eğlenceli! Kargo çok hızlı! Teşekkürler! Herkese tavsiye ediyorum
185,1.0,Sağlam kargolamış ve teslimat süresi hızlı.Hazır kurulmuş ve katlanarak bez kılıfına yerleştirilmiş. Karton kutuda geldi. Ürün sağlam şık. Teşekkürler...
186,1.0,Aldığım ürün kaliteli uygun ve güzel bir şekilde geldi. Aslında aldığım ürün hiç önemli değil yanına bir adet de pena koymuşlar gerçekten incelik dolu bir hareket. Bir internet sitesinden ilk defa böyle bir incelik gördüm teşekkür ediyorum herkese tavsiye ediyorum..
187,1.0,Ufak bir problem yaşadım ama firma ile görüştüm
188,1.0,Arkadaşımda var
189,1.0,Tınısı çok güzel bir tel.
190,1.0,Sınıf öğretmeni olarak 16 aylık kızımla birlikte eğlenceli bir şekilde serinin tüm kitaplarını okuduk. Ben sayfaları okurken oda minik sarı ördeği bulmaya çalıştı böylelikle sıkılma durumu da söz konusu olmadı her kitabın sayfasında olduğu için artık ne yapması gerektiğini biliyor. Teşekkürler hepsi burada ailesi uygun fiyat keyifli alışveriş. 
191,1.0,süperrrr
192,1.0,Çok güzel bir kitap
193,1.0,Ürüne bayıldım. Fiyatıdı da harika. Üstelik iki günde kapıma geldi. Beğendik
194,1.0,Çok etkileyici ve akıcı. yürek burkan bir hikaye.
195,1.0,bir solukta okuyorsunuz bu kadar şeyi nasıl hayal etmiş insan şaşırıyor.geçmiş kitaplarda kafanıza takılan şeylerin cevabı bu kitapta veriliyor özellikle son 100 sayfada elinizden bırakamazsınız
196,1.0,Şu ana kadar okuduğum en güzel kitaplardan biri. Bittiğinde üzüldüm desem yalan olmaz. Sürükleyici ve etkileyici.
197,1.0,ürün düzgün ve hızlı bir şekilde elime ulaştı. Güzel bir oyun severek oynuyoruz.
198,1.0,Renkler kalite çok iyi 1 gün içinde geldi kızım suan küçük sadece resimlerle ilgileniyor ama masalları da seveceginden eminim teşekkürler. .
199,1.0,Bu kitaptan 1 tane almayın. gücünüz nispetinde alın ve etrafınızda özellikle hakkında hiç bir bilgiye sahip değilken sürekli sallayan cahillere hediye edin. 1 tanesi bile Atatürk'ü tanısa ve anlasa önemlidir. Kitap için Yılmaz Özdil'e 
200,1.0,Pazar günü sipariş vermeme rağmen Pazartesi geldi Harika
201,1.0,Benim çok hoşuma giden
202,1.0,GAYET İYİ
203,1.0,Okumadan olmaz
204,1.0,9 yaşındaki kızım için aldım. Aynı kitabın deyimler için olanıda var. Bu yaş grubu için çok faydalı bulduğumu söyleyebilirim.
205,1.0,Ürün kargolaması ve gönderimi son derece başarılı. 
206,1.0,kitap güzel bir kitap şiir severler icin okunmasi gereken bir basucu kitabi
207,1.0,SN müzikten daha önce aldığım yeni baskıSezen Aksu plaklarına göre biraz daha tatminkar bir kayıda sahip olduğunu söyleyebilirim.Çift plak ve içeriği çok iyi olan bir albümdür. Daha mükemmel bir kayıt olabilir miydi?bence evet ...
208,1.0,olasılıksız çok beğenerek okuduğum bir kitaptı.başladınızmı bitiriyorsunuz soluksuz bırakıyor resmen. ben olasılıksızı daha çok beğendim empati aynı tadı vermiyor malesef
209,1.0,yeni başlayanlar için çok ideal. günde 4 saat kadar çalsanız bile 3-4 ay sorunsuz götürüyor. şimdiye kadar 3 takım eskittim. şiddetle tavsiye olunur. Şimdi de Ej45n deneyeceğim. Yamaha gitarda piyano gibi tınlıyor. harikaaaa
210,1.0,harika bir kitap gerçekten
211,1.0,Ürün fiyatına göre oldukça başarılı 
212,1.0,Eğlenerek problem çözdük ve gerçekten faydalı olduğunu gördük.
213,0.0,Büzel kitap deil ya öyle
214,1.0,ürün çok hızlı elime ulastı ve verdiğimiz paranın hakkını veriyor gayet güzel ahşap tahta parlak kaliteli gözüküyor taşları da iyi gözüküyor. ama kullandıktan sonra nasıl olur dayanıklı mı vs bunu bilemem suanda iş görür güzüküyor. satıcıya da teşekkürler
215,1.0,geç teslim edilmesi dışında çok güzel kitaplar
216,0.0,ürün açıklama kısmında yazan özelliklerle elime gelen ürün arasında bir benzerlik yok. çok kırılgan ve kullandığım la meyine uyumsuz idi bazı notalar çıkmıyor. paketleme fena değildi ama pişman olduğumu rahatlıkla söyleyebilirim
